Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
  iter   34 | t=   1.9s | IMPROVED +0.002157 -> -1.058724 | n=58 e=111 | depth=0 level=1
  iter   35 | t=   1.9s | IMPROVED +0.005501 -> -1.053223 | n=59 e=113 | depth=0 level=1
  iter   36 | t=   2.2s | IMPROVED +0.005011 -> -1.048212 | n=60 e=115 | depth=0 level=1
  iter   37 | t=   2.2s | IMPROVED +0.000377 -> -1.047835 | n=60 e=117 | depth=0 level=1
  iter   38 | t=   2.4s | IMPROVED +0.001079 -> -1.046756 | n=61 e=119 | depth=0 level=1
  iter   39 | t=   4.1s | IMPROVED +0.000468 -> -1.046288 | n=61 e=121 | depth=0 level=1
  iter   40 | t=   4.1s | IMPROVED +0.001621 -> -1.044667 | n=62 e=123 | depth=0 level=1
  iter   41 | t=   4.9s | IMPROVED +0.000006 -> -1.044661 | n=63 e=125 | depth=0 level=1
  iter   42 | t=   6.1s | IMPROVED +0.003056 -> -1.041605 | n=64 e=127 | depth=0 level=1
  iter   43 | t=   6.4s | IMPROVED +0.009421 -> -1.032185 | n=65 e=129 | depth=0 level=1
  iter   44 | t=   7.3s | IMPROVED +0.000885 -> -1.031300 | n=65 e=131 | depth=0 level=1
  iter   45 | t=   7.6s | IMPROVED +0.000818 -> -1.030482 | n=67 e=133 | depth=0 level=1
  iter   46 | t=   9.9s | IMPROVED +0.003391 -> -1.027091 | n=68 e=135 | depth=0 level=1
  iter   47 | t=  10.4s | IMPROVED +0.005169 -> -1.021922 | n=69 e=137 | depth=0 level=1
  iter   48 | t=  10.7s | IMPROVED +0.012706 -> -1.009216 | n=71 e=139 | depth=0 level=1
  iter   49 | t=  13.8s | IMPROVED +0.001472 -> -1.007744 | n=72 e=141 | depth=0 level=1
  iter   50 | t=  14.4s | IMPROVED +0.016953 -> -0.990791 | n=74 e=143 | depth=0 level=1
  iter   51 | t=  14.6s | IMPROVED +0.004684 -> -0.986108 | n=75 e=145 | depth=0 level=1
  iter   52 | t=  14.7s | IMPROVED +0.003819 -> -0.982289 | n=75 e=147 | depth=0 level=1
  iter   53 | t=  16.7s | IMPROVED +0.009650 -> -0.972639 | n=77 e=149 | depth=0 level=1
  iter   54 | t=  17.5s | IMPROVED +0.001876 -> -0.970762 | n=77 e=151 | depth=0 level=1
  iter   55 | t=  17.6s | IMPROVED +0.011602 -> -0.959160 | n=78 e=153 | depth=0 level=1
  iter   56 | t=  17.6s | IMPROVED +0.000412 -> -0.958748 | n=80 e=155 | depth=0 level=1
  iter   57 | t=  18.7s | IMPROVED +0.001444 -> -0.957304 | n=81 e=157 | depth=0 level=1
  iter   58 | t=  18.9s | IMPROVED +0.009252 -> -0.948052 | n=82 e=159 | depth=0 level=1
  iter   59 | t=  20.8s | IMPROVED +0.001999 -> -0.946053 | n=83 e=161 | depth=0 level=1
  iter   60 | t=  21.6s | IMPROVED +0.023662 -> -0.922391 | n=83 e=163 | depth=0 level=1
  iter   61 | t=  23.2s | IMPROVED +0.000782 -> -0.921609 | n=84 e=165 | depth=0 level=1
  iter   63 | t=  37.3s | IMPROVED +0.012131 -> -0.909478 | n=85 e=167 | depth=0 level=1
  iter   64 | t=  40.0s | IMPROVED +0.000066 -> -0.909412 | n=85 e=169 | depth=0 level=1
  iter   65 | t=  41.1s | IMPROVED +0.000227 -> -0.909185 | n=87 e=171 | depth=0 level=1
  iter   66 | t=  41.3s | IMPROVED +0.003584 -> -0.905601 | n=87 e=173 | depth=0 level=1
  iter   67 | t=  42.9s | IMPROVED +0.002734 -> -0.902867 | n=87 e=175 | depth=0 level=1
  iter   68 | t=  44.0s | IMPROVED +0.000075 -> -0.902792 | n=89 e=177 | depth=0 level=1
  iter   69 | t=  45.9s | IMPROVED +0.000588 -> -0.902204 | n=91 e=179 | depth=0 level=1
  iter   70 | t=  48.0s | IMPROVED +0.000522 -> -0.901682 | n=92 e=181 | depth=0 level=1
  iter   71 | t=  54.0s | IMPROVED +0.000281 -> -0.901400 | n=92 e=183 | depth=0 level=1
  iter   72 | t=  54.8s | IMPROVED +0.001562 -> -0.899838 | n=93 e=185 | depth=0 level=1
  iter   73 | t=  54.9s | IMPROVED +0.000242 -> -0.899596 | n=95 e=187 | depth=0 level=1
  iter   74 | t=  60.8s | IMPROVED +0.001669 -> -0.897927 | n=96 e=189 | depth=0 level=1
  iter   76 | t=  67.7s | IMPROVED +0.000295 -> -0.897631 | n=96 e=191 | depth=0 level=1
  iter   78 | t=  75.6s | IMPROVED +0.007586 -> -0.890046 | n=96 e=193 | depth=0 level=1
  iter   80 | t=  83.0s | IMPROVED +0.003405 -> -0.886640 | n=97 e=194 | depth=0 level=1
  iter   81 | t=  85.0s | IMPROVED +0.002226 -> -0.884415 | n=98 e=196 | depth=0 level=1
  iter   82 | t=  85.1s | IMPROVED +0.000005 -> -0.884410 | n=99 e=198 | depth=0 level=1
  iter   83 | t=  86.7s | IMPROVED +0.001974 -> -0.882435 | n=100 e=200 | depth=0 level=1
  iter   90 | t= 120.0s | score=-0.882435 best=-0.882435 | depth=1 level=2
AMCS done  | 120.0s | 90 iterations | best=-0.882435 | n=100 e=200

--- Restart 4 | 3240s remaining ---
  Starting from random tree: n=55
