Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter     2 | t=    0.3s | NEW BEST=-2.26240097 | n=15 e=42 | neighbors=132
  iter     2 | t=    0.3s | NEW BEST=-2.22142252 | n=15 e=42 | neighbors=212
  iter     2 | t=    0.3s | NEW BEST=-2.20287700 | n=15 e=42 | neighbors=265
  iter     2 | t=    0.4s | NEW BEST=-1.95583615 | n=15 e=42 | neighbors=350
  iter     3 | t=    0.4s | NEW BEST=-1.82034926 | n=15 e=42 | neighbors=1
  iter     3 | t=    0.4s | NEW BEST=-1.79765343 | n=15 e=42 | neighbors=33
  iter     3 | t=    0.5s | NEW BEST=-1.78631424 | n=15 e=42 | neighbors=114
  iter     4 | t=    0.7s | NEW BEST=-1.77323497 | n=15 e=42 | neighbors=33
  iter     4 | t=    0.7s | NEW BEST=-1.69900793 | n=15 e=42 | neighbors=36
  iter     4 | t=    0.7s | NEW BEST=-1.64117128 | n=15 e=42 | neighbors=39
  iter     4 | t=    0.7s | NEW BEST=-1.61448292 | n=15 e=42 | neighbors=105
  iter     4 | t=    0.8s | NEW BEST=-1.50157985 | n=15 e=42 | neighbors=284
  iter     5 | t=    0.9s | NEW BEST=-1.39920765 | n=15 e=42 | neighbors=41
  iter     5 | t=    1.0s | NEW BEST=-1.35698060 | n=15 e=42 | neighbors=213
  iter     5 | t=    1.0s | NEW BEST=-1.29462370 | n=15 e=42 | neighbors=258
  iter     6 | t=    1.1s | NEW BEST=-1.25158138 | n=15 e=42 | neighbors=37
  iter     6 | t=    1.2s | NEW BEST=-1.21439087 | n=15 e=42 | neighbors=82
  iter     6 | t=    1.2s | NEW BEST=-1.17023954 | n=15 e=42 | neighbors=103
  iter     6 | t=    1.3s | NEW BEST=-1.15315300 | n=15 e=42 | neighbors=427
  iter     6 | t=    1.3s | NEW BEST=-1.13636694 | n=15 e=42 | neighbors=461
  iter     7 | t=    1.3s | NEW BEST=-1.08577174 | n=15 e=42 | neighbors=29
  iter     7 | t=    1.4s | NEW BEST=-1.08284647 | n=15 e=42 | neighbors=116
  iter     7 | t=    1.4s | NEW BEST=-0.95980200 | n=15 e=42 | neighbors=266
  iter     8 | t=    1.6s | NEW BEST=-0.93423338 | n=15 e=42 | neighbors=69
  iter     8 | t=    1.6s | NEW BEST=-0.92348480 | n=15 e=42 | neighbors=96
  iter     8 | t=    1.6s | NEW BEST=-0.89867469 | n=15 e=42 | neighbors=176
  iter     8 | t=    1.6s | NEW BEST=-0.87580846 | n=15 e=42 | neighbors=205
  iter     8 | t=    1.7s | NEW BEST=-0.86800452 | n=15 e=42 | neighbors=364
  iter     9 | t=    1.8s | NEW BEST=-0.86678808 | n=15 e=42 | neighbors=56
  iter     9 | t=    1.8s | NEW BEST=-0.83386690 | n=15 e=42 | neighbors=73
  iter     9 | t=    1.8s | NEW BEST=-0.78930968 | n=15 e=42 | neighbors=85
  iter     9 | t=    1.9s | NEW BEST=-0.75458776 | n=15 e=42 | neighbors=255
  iter     9 | t=    1.9s | NEW BEST=-0.72108807 | n=15 e=42 | neighbors=310
  iter    10 | t=    2.0s | NEW BEST=-0.66448519 | n=15 e=42 | neighbors=18
  iter    10 | t=    2.1s | NEW BEST=-0.66368088 | n=15 e=42 | neighbors=270
  iter    10 | t=    2.1s | NEW BEST=-0.62411467 | n=15 e=42 | neighbors=340
  iter    10 | t=    2.2s | NEW BEST=-0.57997593 | n=15 e=42 | neighbors=438
  iter    11 | t=    2.2s | NEW BEST=-0.50670877 | n=15 e=42 | neighbors=18
  iter    11 | t=    2.2s | NEW BEST=-0.50612475 | n=15 e=42 | neighbors=126
  iter    11 | t=    2.3s | NEW BEST=-0.50165578 | n=15 e=42 | neighbors=272
  iter    12 | t=    2.4s | NEW BEST=-0.49247653 | n=15 e=42 | neighbors=18
  iter    12 | t=    2.5s | NEW BEST=-0.47873266 | n=15 e=42 | neighbors=258
